action_type,step,expected_utility,state_quality
ActionType.TRANSFORM,2,-0.16953779967466023,302.69999999999993
ActionType.TRANSFORM,3,-0.15845351286144863,302.74999999999994
ActionType.TRANSFORM,4,-0.1494039180342277,302.8
ActionType.TRANSFORM,5,-0.14222687140851237,302.85
ActionType.TRANSFORM,6,-0.13673086821421648,302.9
ActionType.TRANSFORM,7,-0.13271317429202154,302.95
ActionType.TRANSFORM,8,-0.12997240079738076,303.0
ActionType.TRANSFORM,9,-0.1283167410963813,303.05
ActionType.TRANSFORM,10,-0.12756894857928144,303.1
ActionType.TRANSFORM,11,-0.12756894857928758,303.15
ActionType.TRANSFORM,12,-0.12817479175936472,303.20000000000005
ActionType.TRANSFORM,13,-0.12926249075820645,303.25000000000006
ActionType.TRANSFORM,14,-0.1307251436717308,303.3
ActionType.TRANSFORM,15,-0.1324716373391495,303.34999999999997
ActionType.TRANSFORM,16,-0.13442513754346774,303.40000000000003
ActionType.TRANSFORM,17,-0.1365215081826866,303.45000000000005
ActionType.TRANSFORM,18,-0.138707753207199,303.5
ActionType.TRANSFORM,19,-0.14094054003109444,303.55
ActionType.TRANSFORM,20,-0.1431848381449574,303.6
ActionType.TRANSFORM,21,-0.14541268929231976,303.65000000000003
ActionType.TRANSFORM,22,-0.14760211384740068,303.70000000000005
ActionType.TRANSFORM,23,-0.14973615041748584,303.75
ActionType.TRANSFORM,24,-0.1518020210226973,303.8
ActionType.TRANSFORM,25,-0.15379041160245313,303.85
ActionType.TRANSFORM,26,-0.15569485641228117,303.9
ActionType.TRANSFORM,27,-0.15751121463284162,303.95
ActionType.TRANSFORM,28,-0.15923722787361919,304.0
ActionType.TRANSFORM,29,-0.16087214797531468,304.05
ActionType.TRANSFORM,30,-0.16241642543002568,304.1
ActionType.TRANSFORM,31,-0.1638714497332233,304.15
ActionType.TRANSFORM,32,-0.16523933398201465,304.20000000000005
ActionType.TRANSFORM,33,-0.16652273699363626,304.25000000000006
ActionType.TRANSFORM,34,-0.1677247171093695,304.3
ActionType.TRANSFORM,35,-0.1688486126585152,304.34999999999997
ActionType.TRANSFORM,36,-0.16989794477970388,304.40000000000003
ActionType.TRANSFORM,37,-0.17087633893371548,304.45000000000005
ActionType.TRANSFORM,38,-0.17178746199749909,304.5
ActionType.TRANSFORM,39,-0.1726349723096964,304.55
ActionType.TRANSFORM,40,-0.17342248045094774,304.6
ActionType.TRANSFORM,41,-0.17415351889521896,304.65000000000003
ActionType.TRANSFORM,42,-0.17483151896869215,304.70000000000005
ActionType.TRANSFORM,43,-0.17545979380728982,304.75
ActionType.TRANSFORM,44,-0.1760415262189873,304.8
ActionType.TRANSFORM,45,-0.1765797605383482,304.85
ActionType.TRANSFORM,46,-0.17707739771317646,304.9
ActionType.TRANSFORM,47,-0.17753719299118492,304.95
ActionType.TRANSFORM,48,-0.1779617556818921,305.0
ActionType.TRANSFORM,49,-0.1783535505588116,305.05
ActionType.TRANSFORM,50,-0.17871490054216832,305.1
ActionType.TRANSFORM,51,-0.179047990365199,305.15
ActionType.TRANSFORM,52,-0.17935487097956587,305.20000000000005
ActionType.TRANSFORM,53,-0.17963746449921167,305.25000000000006
ActionType.TRANSFORM,54,-0.17989756951851352,305.3
ActionType.TRANSFORM,55,-0.18013686667105447,305.34999999999997
ActionType.TRANSFORM,56,-0.18035692432070105,305.40000000000003
ActionType.TRANSFORM,57,-0.18055920429779782,305.45000000000005
ActionType.TRANSFORM,58,-0.18074506761085452,305.5
ActionType.TRANSFER,59,-0.23132027095650862,306.25
ActionType.TRANSFER,60,-0.23128240465655342,307.0
ActionType.TRANSFER,61,-0.2312757312197214,307.6
ActionType.TRANSFER,62,-0.2312873226538212,308.1
ActionType.TRANSFER,63,-0.23130302578605866,308.6
ActionType.TRANSFER,64,-0.2313218986374338,309.1
ActionType.TRANSFER,65,-0.23134314755481777,309.6
ActionType.TRANSFER,66,-0.23136610669644647,310.1
ActionType.TRANSFER,67,-0.23139022020255667,310.6
ActionType.TRANSFER,68,-0.2314150267039605,311.1
ActionType.TRANSFER,69,-0.23144014586740316,311.6
ActionType.TRANSFER,70,-0.23147433799931785,311.90000000000003
ActionType.TRANSFER,71,-0.2315136071691595,312.02500000000003
ActionType.TRANSFER,72,-0.2315494523001,312.15000000000003
ActionType.TRANSFER,73,-0.23158216606132773,312.27500000000003
ActionType.TRANSFER,74,-0.23161201673072446,312.40000000000003
ActionType.TRANSFER,75,-0.23163925016360973,312.52500000000003
ActionType.TRANSFER,76,-0.2316640916086628,312.65000000000003
ActionType.TRANSFER,77,-0.23168674738241363,312.77500000000003
ActionType.TRANSFER,78,-0.23170740641285545,312.90000000000003
ActionType.TRANSFER,79,-0.231726241661964,313.02500000000003
ActionType.TRANSFER,80,-0.23174341143619917,313.15000000000003
ActionType.TRANSFER,81,-0.23175906059340995,313.27500000000003
ActionType.TRANSFER,82,-0.23177332165395945,313.40000000000003
ActionType.TRANSFER,83,-0.23178631582332218,313.52500000000003
ActionType.TRANSFER,84,-0.23179815393288689,313.65000000000003
ActionType.TRANSFER,85,-0.23180893730521138,313.77500000000003
ActionType.TRANSFER,86,-0.23181875854952488,313.90000000000003
ActionType.TRANSFER,87,-0.23182770229285427,314.02500000000003
ActionType.TRANSFER,88,-0.2318358458517582,314.15000000000003
ActionType.TRANSFER,89,-0.23184325984928927,314.27500000000003
ActionType.TRANSFER,90,-0.23185000878146533,314.40000000000003
ActionType.TRANSFER,91,-0.23185615153721423,314.52500000000003
ActionType.TRANSFER,92,-0.23186174187546238,314.65000000000003
ActionType.TRANSFER,93,-0.23186682886276358,314.77500000000003
ActionType.TRANSFER,94,-0.23187145727460895,314.90000000000003
ActionType.TRANSFER,95,-0.23187566796332237,315.02500000000003
ActionType.TRANSFER,96,-0.23187949819522483,315.15000000000003
ActionType.TRANSFER,97,-0.2318829819595459,315.27500000000003
ActionType.TRANSFER,98,-0.23188615025137088,315.40000000000003
ActionType.TRANSFER,99,-0.2318890313307347,315.52500000000003
ActionType.TRANSFER,100,-0.23189165095980988,315.65000000000003
ActionType.TRANSFER,101,-0.2318940326199844,315.77500000000003
ActionType.TRANSFER,102,-0.23189619771048312,315.90000000000003
ActionType.TRANSFER,103,-0.23189816573005745,316.02500000000003
ActionType.TRANSFER,104,-0.2318999544431456,316.15000000000003
ActionType.TRANSFER,105,-0.23190158003179515,316.27500000000003
ActionType.TRANSFER,106,-0.23190305723453555,316.40000000000003
ActionType.TRANSFER,107,-0.23190439947329294,316.52500000000003
ActionType.TRANSFER,108,-0.2319056189693516,316.65000000000003
ActionType.TRANSFER,109,-0.231906726849284,316.77500000000003
ActionType.TRANSFER,110,-0.23190773324169792,316.90000000000003
ActionType.TRANSFER,111,-0.2319086473655777,317.02500000000003
ActionType.TRANSFER,112,-0.23190947761093447,317.15000000000003
ActionType.TRANSFER,113,-0.2319102316124204,317.27500000000003
ActionType.TRANSFER,114,-0.23191091631650804,317.40000000000003
ActionType.TRANSFER,115,-0.23191153804278627,317.52500000000003
ActionType.TRANSFER,116,-0.23191210253987712,317.65000000000003
ActionType.TRANSFER,117,-0.23191261503643776,317.77500000000003
ActionType.TRANSFER,118,-0.23191308028767052,317.90000000000003
ActionType.TRANSFER,119,-0.23191350261773017,318.02500000000003
ActionType.TRANSFER,120,-0.23191388595838364,318.15000000000003
ActionType.TRANSFER,121,-0.23191423388424798,318.27500000000003
ActionType.TRANSFER,122,-0.23191454964490416,318.40000000000003
ActionType.TRANSFER,123,-0.2319148361941593,318.52500000000003
ActionType.TRANSFER,124,-0.23191509621670678,318.65000000000003
ActionType.TRANSFER,125,-0.2319153321524116,318.77500000000003
ActionType.TRANSFER,126,-0.23191554621842989,318.90000000000003
ActionType.TRANSFER,127,-0.2319157404293525,319.02500000000003
ActionType.TRANSFER,128,-0.23191591661554714,319.15000000000003
ActionType.TRANSFER,129,-0.23191607643985715,319.27500000000003
ActionType.TRANSFER,130,-0.23191622141280333,319.40000000000003
ActionType.TRANSFER,131,-0.23191635290641993,319.52500000000003
ActionType.TRANSFER,132,-0.2319164721668473,319.65000000000003
ActionType.TRANSFER,133,-0.23191658032579018,319.77500000000003
ActionType.TRANSFER,134,-0.2319166784109437,319.90000000000003
ActionType.TRANSFER,135,-0.2319167673554784,320.02500000000003
ActionType.TRANSFER,136,-0.23191684800666817,320.15000000000003
ActionType.TRANSFER,137,-0.23191692113373796,320.27500000000003
ActionType.TRANSFER,138,-0.23191698743500103,320.40000000000003
ActionType.TRANSFER,139,-0.23191704754434891,320.52500000000003
ActionType.TRANSFER,140,-0.23191710203715274,320.65000000000003
ActionType.TRANSFER,141,-0.23191715143562844,320.77500000000003
ActionType.TRANSFER,142,-0.2319171962137141,320.90000000000003
ActionType.TRANSFER,143,-0.2319172368015033,321.02500000000003
ActionType.TRANSFER,144,-0.23191727358927489,321.15000000000003
ActionType.TRANSFER,145,-0.2319173069311547,321.27500000000003
ActionType.TRANSFER,146,-0.2319173371484436,321.40000000000003
ActionType.TRANSFER,147,-0.23191736453264114,321.52500000000003
ActionType.TRANSFER,148,-0.23191738934819284,321.65000000000003
ActionType.TRANSFER,149,-0.23191741183498604,321.77500000000003
ActionType.TRANSFER,150,-0.23191743221061695,321.90000000000003
ActionType.TRANSFER,151,-0.23191745067245023,322.02500000000003
ActionType.TRANSFER,152,-0.23191746739948915,322.15000000000003
ActionType.TRANSFER,153,-0.23191748255407427,322.27500000000003
ActionType.TRANSFER,154,-0.231917496283426,322.40000000000003
ActionType.TRANSFER,155,-0.23191750872104525,322.52500000000003
ActionType.TRANSFER,156,-0.23191751998798496,322.65000000000003
ActionType.TRANSFER,157,-0.2319175301940049,322.77500000000003
ActionType.TRANSFER,158,-0.23191753943861967,322.90000000000003
ActionType.TRANSFER,159,-0.2319175478120501,323.02500000000003
ActionType.TRANSFER,160,-0.23191755539608686,323.15000000000003
ActionType.TRANSFER,161,-0.23191756226487448,323.27500000000003
ActionType.TRANSFER,162,-0.23191756848562242,323.40000000000003
ActionType.TRANSFER,163,-0.23191757411925068,323.52500000000003
ActionType.TRANSFER,164,-0.23191757922097575,323.65000000000003
ActionType.TRANSFER,165,-0.231917583840842,323.77500000000003
ActionType.TRANSFER,166,-0.23191758802420398,323.90000000000003
ActionType.TRANSFER,167,-0.23191759181216381,324.02500000000003
ActionType.TRANSFER,168,-0.23191759524196837,324.15000000000003
ActionType.TRANSFER,169,-0.23191759834736908,324.27500000000003
ActionType.TRANSFER,170,-0.23191760115894866,324.40000000000003
ActionType.TRANSFER,171,-0.23191760370441736,324.52500000000003
ActionType.TRANSFER,172,-0.23191760600888156,324.65000000000003
ActionType.TRANSFER,173,-0.23191760809508744,324.77500000000003
ActionType.TRANSFER,174,-0.23191760998364203,324.90000000000003
ActionType.TRANSFER,175,-0.23191761169321357,325.02500000000003
ActionType.TRANSFER,176,-0.23191761324071308,325.15000000000003
ActionType.TRANSFER,177,-0.2319176146414593,325.27500000000003
ActionType.TRANSFER,178,-0.2319176159093278,325.40000000000003
ActionType.TRANSFER,179,-0.23191761705688677,325.52500000000003
ActionType.TRANSFER,180,-0.23191761809551936,325.65000000000003
ActionType.TRANSFER,181,-0.23191761903553532,325.77500000000003
ActionType.TRANSFER,182,-0.23191761988627155,325.90000000000003
ActionType.TRANSFER,183,-0.23191762065618396,326.02500000000003
ActionType.TRANSFER,184,-0.23191762135292984,326.15000000000003
ActionType.TRANSFER,185,-0.23191762198344343,326.27500000000003
ActionType.TRANSFER,186,-0.23191762255400372,326.40000000000003
ActionType.TRANSFER,187,-0.23191762307029626,326.52500000000003
ActionType.TRANSFER,188,-0.23191762353746895,326.65000000000003
ActionType.TRANSFER,189,-0.23191762396018287,326.77500000000003
ActionType.TRANSFER,190,-0.23191762434265803,326.90000000000003
ActionType.TRANSFER,191,-0.23191762468871505,327.02500000000003
ActionType.TRANSFER,192,-0.2319176250018128,327.15000000000003
ActionType.TRANSFER,193,-0.23191762528508253,327.27500000000003
ActionType.TRANSFER,194,-0.23191762554135895,327.40000000000003
ActionType.TRANSFER,195,-0.23191762577320793,327.52500000000003
ActionType.TRANSFER,196,-0.2319176259829523,327.65000000000003
ActionType.TRANSFER,197,-0.23191762617269437,327.77500000000003
ActionType.TRANSFER,198,-0.23191762634433727,327.90000000000003
ActionType.TRANSFER,199,-0.23191762649960335,328.02500000000003
ActionType.TRANSFER,200,-0.23191762664005156,328.15000000000003
ActionType.TRANSFER,201,-0.2319176267670928,328.27500000000003
ActionType.TRANSFER,202,-0.23191762688200399,328.40000000000003
ActionType.TRANSFER,203,-0.23191762698594073,328.52500000000003
ActionType.TRANSFER,204,-0.23191762707994884,328.65000000000003
ActionType.TRANSFER,205,-0.23191762716497458,328.77500000000003
ActionType.TRANSFER,206,-0.23191762724187442,328.90000000000003
ActionType.TRANSFER,207,-0.2319176273114233,329.02500000000003
ActionType.TRANSFER,208,-0.2319176273743223,329.15000000000003
ActionType.TRANSFER,209,-0.23191762743120606,329.27500000000003
ActionType.TRANSFER,210,-0.23191762748264852,329.40000000000003
ActionType.TRANSFER,211,-0.23191762752916917,329.52500000000003
ActionType.TRANSFER,212,-0.2319176275712379,329.65000000000003
ActionType.TRANSFER,213,-0.23191762760927992,329.77500000000003
ActionType.TRANSFER,214,-0.23191762764367987,329.90000000000003
ActionType.TRANSFER,215,-0.23191762767478577,330.02500000000003
ActionType.TRANSFER,216,-0.23191762770291235,330.15000000000003
ActionType.TRANSFER,217,-0.23191762772834454,330.27500000000003
ActionType.TRANSFER,218,-0.23191762775133987,330.40000000000003
ActionType.TRANSFER,219,-0.23191762777213135,330.52500000000003
ActionType.TRANSFER,220,-0.2319176277909299,330.65000000000003
ActionType.TRANSFER,221,-0.23191762780792613,330.77500000000003
ActionType.TRANSFER,222,-0.23191762782329256,330.90000000000003
ActionType.TRANSFER,223,-0.23191762783718511,331.02500000000003
ActionType.TRANSFER,224,-0.23191762784974498,331.15000000000003
ActionType.TRANSFER,225,-0.23191762786109973,331.27500000000003
ActionType.TRANSFER,226,-0.2319176278713648,331.40000000000003
ActionType.TRANSFER,227,-0.23191762788064457,331.52500000000003
ActionType.TRANSFER,228,-0.23191762788903347,331.65000000000003
ActionType.TRANSFER,229,-0.23191762789661685,331.77500000000003
ActionType.TRANSFER,230,-0.23191762790347192,331.90000000000003
ActionType.TRANSFER,231,-0.23191762790966855,332.02500000000003
ActionType.TRANSFER,232,-0.23191762791526982,332.15000000000003
ActionType.TRANSFER,233,-0.2319176279203329,332.27500000000003
ActionType.TRANSFER,234,-0.23191762792490936,332.40000000000003
ActionType.TRANSFER,235,-0.2319176279290459,332.52500000000003
ActionType.TRANSFER,236,-0.2319176279327848,332.65000000000003
ActionType.TRANSFER,237,-0.23191762793616416,332.77500000000003
ActionType.TRANSFER,238,-0.23191762793921852,332.90000000000003
ActionType.TRANSFER,239,-0.23191762794197907,333.02500000000003
ActionType.TRANSFER,240,-0.23191762794447407,333.15000000000003
ActionType.TRANSFER,241,-0.23191762794672896,333.27500000000003
ActionType.TRANSFER,242,-0.23191762794876686,333.40000000000003
ActionType.TRANSFER,243,-0.23191762795060863,333.52500000000003
ActionType.TRANSFER,244,-0.23191762795227308,333.65000000000003
ActionType.TRANSFER,245,-0.23191762795377727,333.77500000000003
ActionType.TRANSFER,246,-0.2319176279551366,333.90000000000003
ActionType.TRANSFER,247,-0.23191762795636503,334.02500000000003
ActionType.TRANSFER,248,-0.2319176279574751,334.15000000000003
ActionType.TRANSFER,249,-0.23191762795847823,334.27500000000003
ActionType.TRANSFER,250,-0.2319176279593847,334.40000000000003
ActionType.TRANSFER,251,-0.23191762796020382,334.52500000000003
ActionType.TRANSFER,252,-0.23191762796094395,334.65000000000003
ActionType.TRANSFER,253,-0.23191762796161278,334.77500000000003
ActionType.TRANSFER,254,-0.2319176279622171,334.90000000000003
ActionType.TRANSFER,255,-0.23191762796276313,335.02500000000003
ActionType.TRANSFER,256,-0.23191762796325652,335.15000000000003
ActionType.TRANSFER,257,-0.2319176279637023,335.27500000000003
ActionType.TRANSFER,258,-0.2319176279641051,335.40000000000003
ActionType.TRANSFER,259,-0.23191762796446902,335.52500000000003
ActionType.TRANSFER,260,-0.23191762796479784,335.65000000000003
ActionType.TRANSFER,261,-0.2319176279650949,335.77500000000003
ActionType.TRANSFER,262,-0.2319176279653633,335.90000000000003
ActionType.TRANSFER,263,-0.23191762796560578,336.02500000000003
ActionType.TRANSFER,264,-0.23191762796582485,336.15000000000003
ActionType.TRANSFER,265,-0.23191762796602278,336.27500000000003
ActionType.TRANSFER,266,-0.23191762796620155,336.40000000000003
ActionType.TRANSFER,267,-0.2319176279663631,336.52500000000003
ActionType.TRANSFER,268,-0.23191762796650903,336.65000000000003
ActionType.TRANSFER,269,-0.23191762796664084,336.77500000000003
ActionType.TRANSFER,270,-0.23191762796675994,336.90000000000003
ActionType.TRANSFER,271,-0.23191762796686896,336.975
ActionType.TRANSFER,272,-0.23191762796696727,337.05
ActionType.TRANSFER,273,-0.23191762796705595,337.125
ActionType.TRANSFER,274,-0.23191762796713597,337.2
ActionType.TRANSFER,275,-0.23191762796720813,337.27500000000003
ActionType.TRANSFER,276,-0.2319176279672732,337.35
ActionType.TRANSFER,277,-0.2319176279673319,337.425
ActionType.TRANSFER,278,-0.23191762796738485,337.5
ActionType.TRANSFER,279,-0.2319176279674326,337.575
ActionType.TRANSFER,280,-0.2319176279674757,337.65000000000003
ActionType.TRANSFORM,281,-0.23191762796751467,337.7
ActionType.TRANSFER,282,-0.23191762796754947,337.8
ActionType.TRANSFORM,283,-0.23191762796758122,337.85
ActionType.TRANSFER,284,-0.23191762796760954,337.95000000000005
ActionType.TRANSFORM,285,-0.23191762796763538,338.0
ActionType.TRANSFER,286,-0.2319176279676581,338.15
ActionType.TRANSFORM,287,-0.23191762796767915,338.19999999999993
ActionType.TRANSFER,288,-0.2319176279676979,338.29999999999995
ActionType.TRANSFORM,289,-0.23191762796771506,338.3499999999999
ActionType.TRANSFER,290,-0.2319176279677303,338.44999999999993
ActionType.TRANSFORM,291,-0.23191762796774423,338.5
ActionType.TRANSFER,292,-0.2319176279677567,338.6
ActionType.TRANSFORM,293,-0.231917627967768,338.65
ActionType.TRANSFER,294,-0.23191762796777798,338.79999999999995
ActionType.TRANSFORM,295,-0.23191762796778723,338.8499999999999
ActionType.TRANSFER,296,-0.23191762796779547,338.94999999999993
ActionType.TRANSFORM,297,-0.23191762796780296,338.99999999999994
ActionType.TRANSFER,298,-0.23191762796780968,339.09999999999997
ActionType.TRANSFORM,299,-0.23191762796781581,339.15
ActionType.TRANSFER,300,-0.23191762796782125,339.25
